time	count
0.00	0.00
19367.00	0.12
19450.00	0.00
19495.00	0.12
19497.00	0.00
19858.00	0.12
20025.00	0.00
20344.00	0.12
20354.00	0.25
20377.00	0.12
20393.00	0.25
20413.00	0.12
20429.00	0.25
20430.00	0.12
20465.00	0.00
20540.00	0.12
20547.00	0.00
20609.00	0.12
20629.00	0.25
20630.00	0.12
20652.00	0.25
20656.00	0.12
20658.00	0.00
20690.00	0.12
20693.00	0.00
20933.00	0.12
20983.00	0.00
21086.00	0.12
21088.00	0.00
21134.00	0.12
21136.00	0.00
21159.00	0.12
21160.00	0.00
21191.00	0.12
21194.00	0.00
21225.00	0.12
21226.00	0.00
21252.00	0.12
21254.00	0.00
21302.00	0.12
21319.00	0.25
21321.00	0.12
21329.00	0.00
21350.00	0.12
21352.00	0.00
21390.00	0.12
21392.00	0.00
21411.00	0.12
21439.00	0.25
21441.00	0.12
22006.00	0.00
29293.00	0.12
29294.00	0.00
29399.00	0.12
29407.00	0.00
29430.00	0.12
29433.00	0.00
30055.00	0.12
30071.00	0.00
30751.00	0.12
31119.00	0.25
31121.00	0.12
31151.00	0.25
31181.00	0.12
31189.00	0.25
31190.00	0.12
31203.00	0.25
31206.00	0.12
31224.00	0.25
31227.00	0.12
34321.00	0.25
34323.00	0.50
34324.00	0.38
34325.00	0.25
34326.00	0.12
34329.00	0.25
34330.00	0.38
34332.00	0.38
34333.00	0.12
34334.00	0.25
34335.00	0.12
34339.00	0.25
34340.00	0.12
34377.00	0.25
34379.00	0.12
34439.00	0.25
34443.00	0.12
34452.00	0.25
34455.00	0.12
34473.00	0.25
34475.00	0.12
34500.00	0.25
34510.00	0.12
34515.00	0.25
34518.00	0.12
34531.00	0.25
34539.00	0.12
34544.00	0.25
34546.00	0.12
34572.00	0.25
34574.00	0.12
34589.00	0.25
34590.00	0.12
34607.00	0.25
34609.00	0.12
34631.00	0.25
34633.00	0.12
34682.00	0.25
34683.00	0.12
34706.00	0.25
34707.00	0.12
34728.00	0.25
34729.00	0.12
34752.00	0.25
34754.00	0.12
34769.00	0.25
34770.00	0.12
34783.00	0.25
34789.00	0.12
34800.00	0.25
34802.00	0.12
34815.00	0.25
34816.00	0.12
34838.00	0.25
34839.00	0.12
34859.00	0.25
34861.00	0.12
34875.00	0.25
34877.00	0.12
