time	count
0.00	0.00
53395.00	1.00
53451.00	0.00
53731.00	1.00
56284.00	0.00
56295.00	1.00
56359.00	0.00
56388.00	1.00
56389.00	0.00
56391.00	1.00
56392.00	0.00
56394.00	1.00
56442.00	0.00
56543.00	1.00
56655.00	0.00
56672.00	1.00
56809.00	0.00
56827.00	1.00
56938.00	0.00
56976.00	1.00
56980.00	0.00
56991.00	1.00
57045.00	0.00
57048.00	1.00
57051.00	0.00
57054.00	1.00
57055.00	0.00
57145.00	1.00
57189.00	0.00
57202.00	1.00
57256.00	0.00
57260.00	1.00
57262.00	0.00
57335.00	1.00
57364.00	0.00
57377.00	1.00
57405.00	0.00
57408.00	1.00
57410.00	0.00
57503.00	1.00
57933.00	0.00
57948.00	1.00
58120.00	0.00
58125.00	1.00
58127.00	0.00
58133.00	1.00
58134.00	0.00
58138.00	1.00
58139.00	0.00
58163.00	1.00
58197.00	0.00
58234.00	1.00
58318.00	0.00
58335.00	1.00
58352.00	0.00
58366.00	1.00
58379.00	0.00
58383.00	1.00
58397.00	0.00
58410.00	1.00
58831.00	0.00
58844.00	1.00
58896.00	0.00
58901.00	1.00
58948.00	0.00
58951.00	1.00
58996.00	0.00
59001.00	1.00
59013.00	0.00
59016.00	1.00
59018.00	0.00
59022.00	1.00
59029.00	0.00
59033.00	1.00
59035.00	0.00
59038.00	1.00
59039.00	0.00
59065.00	1.00
59093.00	0.00
59109.00	1.00
59115.00	0.00
59131.00	1.00
59144.00	0.00
59148.00	1.00
59150.00	0.00
59157.00	1.00
59216.00	0.00
59236.00	1.00
59305.00	0.00
59310.00	1.00
59316.00	0.00
59328.00	1.00
59330.00	0.00
59359.00	1.00
59360.00	0.00
59374.00	1.00
59492.00	0.00
59501.00	1.00
59544.00	0.00
59575.00	1.00
59577.00	0.00
59581.00	1.00
59582.00	0.00
59621.00	1.00
59637.00	0.00
59648.00	1.00
59680.00	0.00
59686.00	1.00
59688.00	0.00
59753.00	1.00
59762.00	0.00
59773.00	1.00
59788.00	0.00
59790.00	1.00
59792.00	0.00
59854.00	1.00
59873.00	0.00
59884.00	1.00
59894.00	0.00
59896.00	1.00
59897.00	0.00
59966.00	1.00
59970.00	0.00
59980.00	1.00
59989.00	0.00
59991.00	1.00
59993.00	0.00
60061.00	1.00
60070.00	0.00
60081.00	1.00
60084.00	0.00
60108.00	1.00
60963.00	0.00
60969.00	1.00
60971.00	0.00
61053.00	1.00
61125.00	0.00
61140.00	1.00
61146.00	0.00
61154.00	1.00
61166.00	0.00
61175.00	1.00
61591.00	0.00
61627.00	1.00
61742.00	0.00
61777.00	1.00
61781.00	0.00
61783.00	1.00
61785.00	0.00
61786.00	1.00
61787.00	0.00
73116.00	1.00
73120.00	0.00
73295.00	1.00
73326.00	0.00
73344.00	1.00
73559.00	0.00
73592.00	1.00
