time	count
0.00	0.00
19169.00	0.50
19266.00	0.00
19332.00	0.50
19453.00	0.00
19490.00	0.50
19810.00	0.00
19823.00	0.50
19827.00	0.00
20064.00	0.50
20272.00	0.00
20302.00	0.50
20329.00	0.00
20353.00	0.50
20368.00	0.00
20391.00	0.50
20408.00	0.00
20429.00	0.50
20510.00	0.00
20538.00	0.50
20603.00	0.00
20640.00	0.50
20660.00	0.00
20854.00	0.50
21055.00	0.00
21089.00	0.50
21118.00	0.00
21136.00	0.50
21144.00	0.00
21161.00	0.50
21171.00	0.00
21188.00	0.50
21204.00	0.00
21225.00	0.50
21231.00	0.00
21252.00	0.50
21300.00	0.00
21333.00	0.50
21340.00	0.00
21397.00	0.50
21418.00	0.00
22055.00	0.50
29267.00	0.00
29298.00	0.50
29377.00	0.00
29403.00	0.50
29411.00	0.00
29428.00	0.50
30743.00	0.00
30770.00	0.50
30775.00	0.00
30977.00	0.50
31061.00	0.00
31088.00	0.50
31127.00	0.00
31147.00	0.50
31159.00	0.00
31179.00	0.50
31184.00	0.00
31197.00	0.50
31201.00	0.00
31231.00	0.50
34258.00	0.00
34284.00	0.50
34289.00	0.00
34296.00	0.50
34297.00	0.00
34302.00	0.00
34307.00	0.50
34308.00	0.00
34313.00	0.50
34314.00	0.00
34319.00	0.50
34320.00	0.00
34325.00	0.50
34326.00	0.00
34352.00	0.50
34353.00	0.00
34402.00	0.50
34407.00	0.00
34434.00	0.50
34436.00	0.00
34452.00	0.50
34454.00	0.00
34471.00	0.50
34473.00	0.00
34499.00	0.50
34500.00	0.00
34515.00	0.50
34516.00	0.00
34531.00	0.50
34532.00	0.00
34555.00	0.50
34556.00	0.00
34574.00	0.50
34575.00	0.00
34590.00	0.50
34591.00	0.00
34608.00	0.50
34609.00	0.00
34656.00	0.50
34660.00	0.00
34687.00	0.50
34689.00	0.00
34709.00	0.50
34711.00	0.00
34728.00	0.50
34729.00	0.00
34755.00	0.50
34756.00	0.00
34770.00	0.50
34771.00	0.00
34785.00	0.50
34786.00	0.00
34798.00	0.50
34799.00	0.00
34815.00	0.00
34838.00	0.50
34840.00	0.00
34860.00	0.50
34861.00	0.00
34877.00	0.50
34878.00	0.00
34894.00	0.50
34895.00	0.00
34912.00	0.50
34913.00	0.00
34926.00	0.50
34927.00	0.00
34948.00	0.50
34949.00	0.00
34973.00	0.50
34974.00	0.00
34992.00	0.50
34993.00	0.00
35010.00	0.50
35011.00	0.00
35027.00	0.50
35028.00	0.00
35042.00	0.50
35043.00	0.00
35059.00	0.50
35060.00	0.00
35078.00	0.50
35079.00	0.00
35101.00	0.50
35102.00	0.00
35120.00	0.50
35121.00	0.00
35139.00	0.50
35140.00	0.00
35200.00	0.50
35204.00	0.00
35230.00	0.50
35231.00	0.00
35253.00	0.50
35255.00	0.00
35280.00	0.50
35281.00	0.00
