level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	770657	770684	#000000	1.0	Intersection						47300
3	771961	771963	#000000	1.0	Intersection						161675
3	772896	772898	#000000	1.0	Intersection						161676
3	773825	773827	#000000	1.0	Intersection						161677
3	774758	774760	#000000	1.0	Intersection						161678
3	775650	775652	#000000	1.0	Intersection						554828
3	776455	776457	#000000	1.0	Intersection						161679
3	777277	777279	#000000	1.0	Intersection						161680
3	778114	778115	#000000	1.0	Intersection						161681
3	778928	778930	#000000	1.0	Intersection						161682
3	779752	779754	#000000	1.0	Intersection						161683
3	780556	780557	#000000	1.0	Intersection						161684
3	781369	781371	#000000	1.0	Intersection						161685
3	782187	782188	#000000	1.0	Intersection						161686
3	783006	783008	#000000	1.0	Intersection						161687
3	783851	783853	#000000	1.0	Intersection						554829
3	784695	784696	#000000	1.0	Intersection						554830
3	785423	785424	#000000	1.0	Intersection						554831
3	786245	786247	#000000	1.0	Intersection						554832
3	786962	786963	#000000	1.0	Intersection						554833
3	787806	787807	#000000	1.0	Intersection						554834
3	788540	788542	#000000	1.0	Intersection						554835
3	789328	789329	#000000	1.0	Intersection						554836
3	790150	790151	#000000	1.0	Intersection						554837
3	790928	790929	#000000	1.0	Intersection						554838
3	791714	791716	#000000	1.0	Intersection						554839
3	792499	792500	#000000	1.0	Intersection						554840
3	793273	793275	#000000	1.0	Intersection						554841
3	794048	794049	#000000	1.0	Intersection						554842
3	794842	794844	#000000	1.0	Intersection						554843
3	796214	796215	#000000	1.0	Intersection						554844
3	796997	796999	#000000	1.0	Intersection						554845
3	797866	797868	#000000	1.0	Intersection						278104
3	798662	798664	#000000	1.0	Intersection						554846
3	799374	799375	#000000	1.0	Intersection						554847
3	800188	800189	#000000	1.0	Intersection						554848
3	800900	800901	#000000	1.0	Intersection						554849
3	801681	801682	#000000	1.0	Intersection						554850
3	802546	802547	#000000	1.0	Intersection						554851
3	803339	803340	#000000	1.0	Intersection						554852
3	804133	804134	#000000	1.0	Intersection						554853
3	804916	804918	#000000	1.0	Intersection						554854
3	805711	805712	#000000	1.0	Intersection						554855
3	806502	806504	#000000	1.0	Intersection						554856
3	807264	807265	#000000	1.0	Intersection						161688
3	808005	808006	#000000	1.0	Intersection						161689
3	808868	808870	#000000	1.0	Intersection						554857
3	809633	809635	#000000	1.0	Intersection						554858
3	810425	810427	#000000	1.0	Intersection						554859
3	811220	811222	#000000	1.0	Intersection						554860
3	811991	811993	#000000	1.0	Intersection						554861
3	812777	812779	#000000	1.0	Intersection						554862
3	813578	813579	#000000	1.0	Intersection						554863
3	814301	814302	#000000	1.0	Intersection						554864
3	815134	815135	#000000	1.0	Intersection						554865
3	815929	815930	#000000	1.0	Intersection						554866
3	816715	816716	#000000	1.0	Intersection						554867
3	817493	817494	#000000	1.0	Intersection						554868
3	818282	818283	#000000	1.0	Intersection						554869
3	819074	819076	#000000	1.0	Intersection						554870
3	819795	819797	#000000	1.0	Intersection						554871
3	820632	820634	#000000	1.0	Intersection						554872
3	821981	821983	#000000	1.0	Intersection						554873
3	822857	822858	#000000	1.0	Intersection						554874
3	823641	823642	#000000	1.0	Intersection						554875
3	824361	824362	#000000	1.0	Intersection						554876
3	825232	825234	#000000	1.0	Intersection						554877
3	826012	826013	#000000	1.0	Intersection						554878
3	826784	826786	#000000	1.0	Intersection						554879
3	827507	827509	#000000	1.0	Intersection						554880
3	828364	828365	#000000	1.0	Intersection						554881
3	829139	829140	#000000	1.0	Intersection						554882
3	829916	829917	#000000	1.0	Intersection						554883
3	830698	830700	#000000	1.0	Intersection						554884
3	831482	831483	#000000	1.0	Intersection						554885
3	832286	832287	#000000	1.0	Intersection						554886
3	833059	833060	#000000	1.0	Intersection						554887
3	833788	833790	#000000	1.0	Intersection						554888
3	834584	834586	#000000	1.0	Intersection						554889
3	835447	835448	#000000	1.0	Intersection						554890
3	836217	836219	#000000	1.0	Intersection						278105
3	836943	836944	#000000	1.0	Intersection						554891
3	837714	837716	#000000	1.0	Intersection						554892
3	838494	838495	#000000	1.0	Intersection						554893
3	839332	839333	#000000	1.0	Intersection						554894
3	840110	840111	#000000	1.0	Intersection						554895
3	840883	840884	#000000	1.0	Intersection						554896
3	841652	841654	#000000	1.0	Intersection						554897
