time	count
0.00	0.00
9649.00	1.00
9754.00	0.00
9812.00	1.00
9969.00	0.00
9991.00	1.00
10269.00	0.00
10288.00	1.00
10291.00	0.00
10460.00	1.00
10686.00	0.00
10704.00	1.00
10739.00	0.00
10750.00	1.00
10765.00	0.00
10776.00	1.00
10792.00	0.00
10803.00	1.00
10880.00	0.00
10894.00	1.00
10945.00	0.00
10956.00	1.00
10958.00	0.00
10992.00	1.00
11015.00	0.00
11028.00	1.00
11240.00	0.00
11259.00	1.00
11290.00	0.00
11303.00	1.00
11314.00	0.00
11325.00	1.00
11334.00	0.00
11346.00	1.00
11364.00	0.00
11375.00	1.00
11381.00	0.00
11401.00	1.00
11474.00	0.00
11485.00	1.00
11488.00	0.00
11595.00	1.00
11614.00	0.00
11634.00	1.00
11654.00	0.00
11666.00	1.00
11668.00	0.00
12226.00	1.00
19585.00	0.00
19601.00	1.00
19664.00	0.00
19681.00	1.00
19689.00	0.00
19711.00	1.00
20951.00	0.00
20964.00	1.00
20969.00	0.00
21153.00	1.00
21236.00	0.00
21255.00	1.00
21292.00	0.00
21301.00	1.00
21312.00	0.00
21323.00	1.00
21326.00	0.00
21332.00	1.00
21335.00	0.00
21341.00	1.00
50356.00	0.00
50378.00	1.00
50386.00	0.00
50391.00	1.00
50392.00	0.00
50396.00	1.00
50397.00	0.00
50402.00	1.00
50403.00	0.00
50407.00	1.00
50408.00	0.00
50412.00	1.00
50413.00	0.00
50420.00	1.00
50421.00	0.00
50427.00	0.00
50460.00	1.00
50462.00	0.00
50468.00	1.00
50469.00	0.00
50477.00	1.00
50478.00	0.00
50487.00	1.00
50488.00	0.00
50501.00	1.00
50502.00	0.00
50522.00	1.00
50523.00	0.00
50532.00	1.00
50533.00	0.00
50537.00	0.00
50547.00	1.00
50548.00	0.00
50552.00	1.00
50553.00	0.00
50557.00	1.00
50558.00	0.00
50562.00	1.00
50563.00	0.00
50570.00	0.00
50586.00	1.00
50587.00	0.00
50593.00	1.00
50594.00	0.00
50598.00	0.00
50620.00	1.00
50621.00	0.00
50634.00	1.00
50635.00	0.00
50653.00	1.00
50654.00	0.00
50660.00	1.00
50661.00	0.00
50673.00	1.00
50674.00	0.00
50684.00	1.00
50685.00	0.00
50703.00	1.00
50704.00	0.00
50707.00	1.00
50708.00	0.00
50712.00	1.00
50713.00	0.00
50717.00	1.00
50718.00	0.00
50727.00	0.00
50741.00	1.00
50742.00	0.00
50747.00	1.00
50748.00	0.00
50758.00	1.00
50759.00	0.00
50771.00	1.00
50772.00	0.00
50777.00	1.00
50778.00	0.00
50786.00	1.00
50787.00	0.00
50800.00	1.00
50801.00	0.00
50811.00	1.00
50812.00	0.00
50820.00	1.00
50821.00	0.00
50830.00	1.00
50831.00	0.00
50838.00	1.00
50839.00	0.00
50857.00	1.00
50858.00	0.00
50868.00	1.00
50869.00	0.00
50890.00	1.00
