time	count
0.00	0.00
13723.00	1.00
13839.00	0.00
13954.00	1.00
14097.00	0.00
14124.00	1.00
14471.00	0.00
14484.00	1.00
14486.00	0.00
14730.00	1.00
14971.00	0.00
15001.00	1.00
15030.00	0.00
15041.00	1.00
15054.00	0.00
15070.00	1.00
15087.00	0.00
15102.00	1.00
15178.00	0.00
15198.00	1.00
15273.00	0.00
15287.00	1.00
15289.00	0.00
15360.00	1.00
15385.00	0.00
15410.00	1.00
15627.00	0.00
15649.00	1.00
15679.00	0.00
15696.00	1.00
15704.00	0.00
15722.00	1.00
15732.00	0.00
15750.00	1.00
15769.00	0.00
15788.00	1.00
15793.00	0.00
15812.00	1.00
15861.00	0.00
15883.00	1.00
15885.00	0.00
15984.00	1.00
16010.00	0.00
16040.00	1.00
16061.00	0.00
16995.00	1.00
24395.00	0.00
24420.00	1.00
24500.00	0.00
24520.00	1.00
24529.00	0.00
24544.00	1.00
26013.00	0.00
26264.00	1.00
26347.00	0.00
26380.00	1.00
26424.00	0.00
26461.00	1.00
26473.00	0.00
26506.00	1.00
26514.00	0.00
26544.00	1.00
26553.00	0.00
26567.00	1.00
54471.00	0.00
54506.00	1.00
54514.00	0.00
54525.00	1.00
54526.00	0.00
54537.00	1.00
54538.00	0.00
54559.00	1.00
54560.00	0.00
54572.00	1.00
54573.00	0.00
54584.00	1.00
54585.00	0.00
54597.00	1.00
54598.00	0.00
54610.00	1.00
54611.00	0.00
54628.00	1.00
54629.00	0.00
54643.00	1.00
54644.00	0.00
54658.00	1.00
54659.00	0.00
54674.00	1.00
54675.00	0.00
54689.00	1.00
54690.00	0.00
54700.00	1.00
54701.00	0.00
54719.00	1.00
54720.00	0.00
54730.00	1.00
54731.00	0.00
54753.00	1.00
54755.00	0.00
54769.00	1.00
54770.00	0.00
54782.00	1.00
54783.00	0.00
54794.00	1.00
54795.00	0.00
54806.00	1.00
54807.00	0.00
54817.00	1.00
54818.00	0.00
54831.00	1.00
54832.00	0.00
54843.00	1.00
54844.00	0.00
54854.00	1.00
54855.00	0.00
54866.00	1.00
54867.00	0.00
54883.00	1.00
54884.00	0.00
54895.00	1.00
54896.00	0.00
54906.00	1.00
54907.00	0.00
54919.00	1.00
54920.00	0.00
54935.00	1.00
54936.00	0.00
54950.00	1.00
54951.00	0.00
54964.00	1.00
54965.00	0.00
54977.00	1.00
54978.00	0.00
54987.00	1.00
54988.00	0.00
54998.00	1.00
54999.00	0.00
55010.00	0.00
55022.00	0.00
55036.00	1.00
55037.00	0.00
55049.00	1.00
55050.00	0.00
55138.00	1.00
55144.00	0.00
55174.00	1.00
55177.00	0.00
55197.00	1.00
55198.00	0.00
55216.00	1.00
55217.00	0.00
55234.00	1.00
55235.00	0.00
55252.00	1.00
55254.00	0.00
55264.00	1.00
55265.00	0.00
55277.00	1.00
55278.00	0.00
55289.00	1.00
55290.00	0.00
55299.00	1.00
55300.00	0.00
55312.00	1.00
55313.00	0.00
55326.00	1.00
55327.00	0.00
55339.00	1.00
55340.00	0.00
55350.00	1.00
55351.00	0.00
55363.00	1.00
55364.00	0.00
55376.00	0.00
55386.00	1.00
55387.00	0.00
55399.00	1.00
55400.00	0.00
55412.00	1.00
55413.00	0.00
55425.00	1.00
55426.00	0.00
55437.00	1.00
55438.00	0.00
55448.00	1.00
55449.00	0.00
55459.00	1.00
55460.00	0.00
55481.00	1.00
55482.00	0.00
55494.00	1.00
55495.00	0.00
55505.00	1.00
55506.00	0.00
55517.00	1.00
55518.00	0.00
55529.00	1.00
55530.00	0.00
55567.00	1.00
55572.00	0.00
55598.00	1.00
55600.00	0.00
55620.00	1.00
55622.00	0.00
55640.00	1.00
55642.00	0.00
55658.00	1.00
55660.00	0.00
55676.00	1.00
55677.00	0.00
55693.00	1.00
55694.00	0.00
55707.00	0.00
55718.00	1.00
55719.00	0.00
55743.00	1.00
55744.00	0.00
55756.00	1.00
55757.00	0.00
55767.00	1.00
55768.00	0.00
55778.00	1.00
55779.00	0.00
55791.00	1.00
55792.00	0.00
55805.00	1.00
55806.00	0.00
55818.00	0.00
55831.00	1.00
55832.00	0.00
55843.00	1.00
55844.00	0.00
55854.00	0.00
55866.00	1.00
55867.00	0.00
55885.00	1.00
55886.00	0.00
55899.00	0.00
55910.00	1.00
55911.00	0.00
55922.00	1.00
55923.00	0.00
55935.00	0.00
55946.00	1.00
55947.00	0.00
55957.00	0.00
55972.00	1.00
55973.00	0.00
55984.00	0.00
55996.00	1.00
55997.00	0.00
56006.00	1.00
56007.00	0.00
56017.00	0.00
56029.00	0.00
56039.00	1.00
56040.00	0.00
56052.00	1.00
56053.00	0.00
56065.00	1.00
56066.00	0.00
56077.00	1.00
56078.00	0.00
56090.00	1.00
56091.00	0.00
56111.00	1.00
56112.00	0.00
56124.00	1.00
56125.00	0.00
56137.00	1.00
56138.00	0.00
56149.00	1.00
56150.00	0.00
56167.00	1.00
56168.00	0.00
56179.00	1.00
56180.00	0.00
56193.00	1.00
56194.00	0.00
56204.00	1.00
56205.00	0.00
56216.00	1.00
56217.00	0.00
56227.00	1.00
56228.00	0.00
56241.00	1.00
56242.00	0.00
56261.00	1.00
56262.00	0.00
56275.00	1.00
56276.00	0.00
56286.00	0.00
56299.00	1.00
56300.00	0.00
56314.00	0.00
56326.00	0.00
56335.00	1.00
56336.00	0.00
56358.00	1.00
56359.00	0.00
56371.00	1.00
56372.00	0.00
56382.00	0.00
56394.00	1.00
56395.00	0.00
56415.00	1.00
56416.00	0.00
56430.00	1.00
56431.00	0.00
56445.00	1.00
56446.00	0.00
56456.00	1.00
56457.00	0.00
56467.00	1.00
56468.00	0.00
56479.00	1.00
56480.00	0.00
56490.00	0.00
56508.00	1.00
56509.00	0.00
56524.00	1.00
56525.00	0.00
56536.00	0.00
56548.00	1.00
56549.00	0.00
56562.00	0.00
56583.00	1.00
56584.00	0.00
56596.00	1.00
56597.00	0.00
56608.00	1.00
56609.00	0.00
56622.00	1.00
56623.00	0.00
56648.00	1.00
56650.00	0.00
56662.00	1.00
56663.00	0.00
56675.00	1.00
56676.00	0.00
56688.00	1.00
56689.00	0.00
56699.00	0.00
56710.00	1.00
56711.00	0.00
56728.00	1.00
56729.00	0.00
56744.00	1.00
56745.00	0.00
56756.00	1.00
56757.00	0.00
56768.00	1.00
56769.00	0.00
56787.00	1.00
56789.00	0.00
56800.00	1.00
56801.00	0.00
56811.00	1.00
56812.00	0.00
56823.00	1.00
56824.00	0.00
56832.00	1.00
56833.00	0.00
56846.00	1.00
56847.00	0.00
56859.00	1.00
56860.00	0.00
56876.00	0.00
56886.00	1.00
56887.00	0.00
56896.00	1.00
56897.00	0.00
56918.00	1.00
56919.00	0.00
56930.00	1.00
56932.00	0.00
56944.00	1.00
56945.00	0.00
56957.00	1.00
56958.00	0.00
56971.00	1.00
56972.00	0.00
56983.00	1.00
56984.00	0.00
56999.00	1.00
57000.00	0.00
57009.00	1.00
57010.00	0.00
57019.00	1.00
57020.00	0.00
57032.00	1.00
57033.00	0.00
57052.00	1.00
57054.00	0.00
57068.00	1.00
57069.00	0.00
57082.00	1.00
57083.00	0.00
57092.00	1.00
57093.00	0.00
57104.00	1.00
57105.00	0.00
57116.00	1.00
57117.00	0.00
57125.00	1.00
57126.00	0.00
57137.00	1.00
57138.00	0.00
57151.00	1.00
57152.00	0.00
57163.00	1.00
57164.00	0.00
57177.00	1.00
57178.00	0.00
57192.00	1.00
57193.00	0.00
57209.00	1.00
57210.00	0.00
57221.00	0.00
57232.00	1.00
57233.00	0.00
57245.00	1.00
57246.00	0.00
57267.00	1.00
57269.00	0.00
57286.00	0.00
57296.00	1.00
57297.00	0.00
57307.00	1.00
57308.00	0.00
57320.00	1.00
57321.00	0.00
57344.00	1.00
57345.00	0.00
57357.00	1.00
57358.00	0.00
57370.00	1.00
57371.00	0.00
57384.00	1.00
57385.00	0.00
57395.00	1.00
57396.00	0.00
57410.00	1.00
57411.00	0.00
57421.00	0.00
57430.00	0.00
57445.00	0.00
57458.00	1.00
57459.00	0.00
57469.00	1.00
57470.00	0.00
57483.00	1.00
57484.00	0.00
57497.00	1.00
57498.00	0.00
57509.00	1.00
57510.00	0.00
57520.00	1.00
57521.00	0.00
57534.00	0.00
57548.00	0.00
57560.00	1.00
57561.00	0.00
57572.00	0.00
57586.00	0.00
57597.00	0.00
57607.00	1.00
57608.00	0.00
57626.00	1.00
57627.00	0.00
57638.00	1.00
57639.00	0.00
57654.00	0.00
57667.00	1.00
57668.00	0.00
57680.00	1.00
57681.00	0.00
57698.00	1.00
57699.00	0.00
57711.00	1.00
57712.00	0.00
57732.00	1.00
57734.00	0.00
