time	count
0.00	0.00
14107.00	1.00
14137.00	0.00
14168.00	1.00
14185.00	0.00
14404.00	1.00
14554.00	0.00
14757.00	1.00
14767.00	0.00
14773.00	1.00
14779.00	0.00
14784.00	1.00
14785.00	0.00
14788.00	1.00
14789.00	0.00
14884.00	1.00
14913.00	0.00
14935.00	1.00
14940.00	0.00
15063.00	1.00
15108.00	0.00
15113.00	1.00
15114.00	0.00
15156.00	1.00
15158.00	0.00
15192.00	1.00
15200.00	0.00
15205.00	0.00
17558.00	1.00
18142.00	0.00
25270.00	1.00
25273.00	0.00
25335.00	1.00
25336.00	0.00
25369.00	1.00
25370.00	0.00
25820.00	1.00
25825.00	0.00
26397.00	1.00
26833.00	0.00
26837.00	1.00
26844.00	0.00
26857.00	1.00
26858.00	0.00
26874.00	1.00
26875.00	0.00
26883.00	1.00
26884.00	0.00
53196.00	1.00
53207.00	0.00
53217.00	1.00
53218.00	0.00
53233.00	1.00
53234.00	0.00
53238.00	1.00
53239.00	0.00
53251.00	1.00
53252.00	0.00
53258.00	0.00
53261.00	1.00
53266.00	0.00
53272.00	1.00
53273.00	0.00
53275.00	1.00
53276.00	0.00
53279.00	0.00
53290.00	1.00
53291.00	0.00
53295.00	1.00
53298.00	0.00
53304.00	0.00
53315.00	0.00
53320.00	0.00
53324.00	1.00
53325.00	0.00
53329.00	1.00
53332.00	0.00
53335.00	1.00
53336.00	0.00
53341.00	1.00
53342.00	0.00
53344.00	1.00
53345.00	0.00
53348.00	1.00
53349.00	0.00
53354.00	1.00
53358.00	0.00
53364.00	0.00
53379.00	0.00
53406.00	1.00
53407.00	0.00
53415.00	1.00
53416.00	0.00
53420.00	1.00
53421.00	0.00
53426.00	1.00
53432.00	0.00
53444.00	1.00
53445.00	0.00
53452.00	1.00
53453.00	0.00
53458.00	1.00
53459.00	0.00
53463.00	1.00
53464.00	0.00
53467.00	1.00
53472.00	0.00
53477.00	1.00
53478.00	0.00
53484.00	1.00
53485.00	0.00
53513.00	1.00
53515.00	0.00
53522.00	1.00
53523.00	0.00
53526.00	1.00
53527.00	0.00
53530.00	1.00
53536.00	0.00
53542.00	1.00
53543.00	0.00
53548.00	0.00
53555.00	1.00
53556.00	0.00
53570.00	1.00
53571.00	0.00
53590.00	1.00
53595.00	0.00
53603.00	1.00
53604.00	0.00
53609.00	1.00
53610.00	0.00
53635.00	1.00
53637.00	0.00
53645.00	0.00
53650.00	1.00
53656.00	0.00
53662.00	1.00
53663.00	0.00
53668.00	1.00
53669.00	0.00
53673.00	0.00
53678.00	1.00
53679.00	0.00
53684.00	1.00
53685.00	0.00
53699.00	1.00
53704.00	0.00
53710.00	1.00
53711.00	0.00
53737.00	1.00
53739.00	0.00
53746.00	1.00
53747.00	0.00
53753.00	0.00
53758.00	1.00
53763.00	0.00
53770.00	1.00
53771.00	0.00
53777.00	1.00
53778.00	0.00
53782.00	0.00
53786.00	1.00
53791.00	0.00
53797.00	1.00
53798.00	0.00
53802.00	0.00
53807.00	1.00
53808.00	0.00
53829.00	1.00
53830.00	0.00
53836.00	0.00
53851.00	1.00
53855.00	0.00
53861.00	1.00
53862.00	0.00
53868.00	1.00
53869.00	0.00
53895.00	1.00
53896.00	0.00
53909.00	1.00
53910.00	0.00
53932.00	1.00
53933.00	0.00
53940.00	1.00
53944.00	0.00
53950.00	0.00
53962.00	0.00
53972.00	0.00
53980.00	0.00
53994.00	1.00
53998.00	0.00
54005.00	1.00
54006.00	0.00
54016.00	0.00
54032.00	0.00
54039.00	0.00
54057.00	1.00
54060.00	0.00
54067.00	0.00
54073.00	0.00
54089.00	1.00
54090.00	0.00
54097.00	1.00
54098.00	0.00
54114.00	0.00
54122.00	1.00
54126.00	0.00
54143.00	1.00
54144.00	0.00
54149.00	1.00
54150.00	0.00
54166.00	1.00
54167.00	0.00
54173.00	1.00
54174.00	0.00
54191.00	1.00
54195.00	0.00
54202.00	1.00
54203.00	0.00
54216.00	1.00
54217.00	0.00
54231.00	1.00
54232.00	0.00
54243.00	1.00
54244.00	0.00
54260.00	1.00
54261.00	0.00
54271.00	1.00
54275.00	0.00
54282.00	0.00
54288.00	0.00
54312.00	1.00
54313.00	0.00
54326.00	0.00
54342.00	1.00
54346.00	0.00
54353.00	0.00
54359.00	0.00
54378.00	1.00
54379.00	0.00
54386.00	0.00
54407.00	1.00
54411.00	0.00
54418.00	0.00
54423.00	1.00
54424.00	0.00
54441.00	1.00
54442.00	0.00
54449.00	0.00
54465.00	1.00
54468.00	0.00
54475.00	1.00
54476.00	0.00
54488.00	0.00
54500.00	0.00
54507.00	0.00
54524.00	0.00
54531.00	1.00
54534.00	0.00
54547.00	0.00
54557.00	1.00
54558.00	0.00
54563.00	1.00
54564.00	0.00
54581.00	1.00
54582.00	0.00
54600.00	1.00
54603.00	0.00
54615.00	1.00
54616.00	0.00
54628.00	0.00
54635.00	0.00
54650.00	0.00
54656.00	1.00
54657.00	0.00
54671.00	1.00
54675.00	0.00
54683.00	0.00
54689.00	1.00
54690.00	0.00
54709.00	1.00
54710.00	0.00
54725.00	0.00
54731.00	1.00
54734.00	0.00
54739.00	1.00
54740.00	0.00
54753.00	1.00
54754.00	0.00
54770.00	1.00
54771.00	0.00
54777.00	1.00
54781.00	0.00
54792.00	0.00
54804.00	0.00
54818.00	1.00
54819.00	0.00
54825.00	1.00
54826.00	0.00
54839.00	0.00
54855.00	1.00
54862.00	0.00
54867.00	1.00
54868.00	0.00
54873.00	0.00
54885.00	1.00
54886.00	0.00
54891.00	1.00
54892.00	0.00
54916.00	1.00
54920.00	0.00
54926.00	1.00
54927.00	0.00
54932.00	0.00
54944.00	0.00
54949.00	1.00
54950.00	0.00
54964.00	1.00
54967.00	0.00
54973.00	1.00
54974.00	0.00
54980.00	1.00
54981.00	0.00
55000.00	1.00
55001.00	0.00
55007.00	0.00
55022.00	1.00
55023.00	0.00
55029.00	1.00
55033.00	0.00
55038.00	0.00
55054.00	1.00
55055.00	0.00
55063.00	1.00
55064.00	0.00
55081.00	0.00
55089.00	1.00
55090.00	0.00
55106.00	1.00
55110.00	0.00
55116.00	1.00
55117.00	0.00
55124.00	1.00
55125.00	0.00
55137.00	1.00
55138.00	0.00
55150.00	1.00
55153.00	0.00
55168.00	0.00
55174.00	1.00
55175.00	0.00
55192.00	0.00
55197.00	0.00
55213.00	1.00
55216.00	0.00
55228.00	1.00
55229.00	0.00
55234.00	0.00
55249.00	1.00
55250.00	0.00
55258.00	0.00
55275.00	0.00
55283.00	1.00
55286.00	0.00
55302.00	1.00
55303.00	0.00
55309.00	0.00
55324.00	0.00
55330.00	0.00
55350.00	1.00
55354.00	0.00
55361.00	1.00
55362.00	0.00
55368.00	1.00
55369.00	0.00
55381.00	0.00
55398.00	1.00
55399.00	0.00
55415.00	1.00
55416.00	0.00
55432.00	1.00
55435.00	0.00
55446.00	1.00
55447.00	0.00
55452.00	0.00
55463.00	1.00
55464.00	0.00
55469.00	1.00
55470.00	0.00
55483.00	1.00
55487.00	0.00
55503.00	1.00
55504.00	0.00
55510.00	0.00
55521.00	0.00
55536.00	0.00
55550.00	1.00
55553.00	0.00
55561.00	1.00
55562.00	0.00
55574.00	1.00
55575.00	0.00
55593.00	0.00
55605.00	1.00
55606.00	0.00
55621.00	1.00
55622.00	0.00
55629.00	1.00
55632.00	0.00
55647.00	0.00
55653.00	0.00
55670.00	1.00
55671.00	0.00
55683.00	1.00
55684.00	0.00
55693.00	1.00
55694.00	0.00
55707.00	1.00
55711.00	0.00
55722.00	1.00
55723.00	0.00
55729.00	1.00
55730.00	0.00
55747.00	1.00
55748.00	0.00
55754.00	1.00
55758.00	0.00
55772.00	1.00
55773.00	0.00
55779.00	0.00
55790.00	0.00
55804.00	1.00
55805.00	0.00
55812.00	0.00
55829.00	1.00
55832.00	0.00
55840.00	1.00
55841.00	0.00
55852.00	1.00
55853.00	0.00
55866.00	1.00
55867.00	0.00
55873.00	1.00
55874.00	0.00
55886.00	1.00
55889.00	0.00
55904.00	1.00
55905.00	0.00
55920.00	0.00
55933.00	1.00
55934.00	0.00
55945.00	1.00
55946.00	0.00
55950.00	1.00
55951.00	0.00
55962.00	1.00
55966.00	0.00
55971.00	0.00
55992.00	1.00
55993.00	0.00
56008.00	1.00
56009.00	0.00
56016.00	0.00
56033.00	1.00
56038.00	0.00
56045.00	1.00
