level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	108698	108725	#000000	1.0	Intersection						1499809
3	121974	121993	#000000	1.0	Intersection						68268
3	123709	123711	#000000	1.0	Intersection						68269
3	127518	127519	#000000	1.0	Intersection						1499810
3	128111	128113	#000000	1.0	Intersection						68270
3	128918	128919	#000000	1.0	Intersection						68271
3	130205	130206	#000000	1.0	Intersection						224225
3	131010	131012	#000000	1.0	Intersection						224226
3	134333	134334	#000000	1.0	Intersection						1499811
3	134993	134995	#000000	1.0	Intersection						224227
3	135868	135870	#000000	1.0	Intersection						68272
3	139402	139404	#000000	1.0	Intersection						1499812
3	140022	140024	#000000	1.0	Intersection						224228
3	140835	140837	#000000	1.0	Intersection						224229
3	142107	142108	#000000	1.0	Intersection						224230
3	142934	142936	#000000	1.0	Intersection						224231
3	146413	146415	#000000	1.0	Intersection						1499813
3	147002	147004	#000000	1.0	Intersection						68273
3	147820	147821	#000000	1.0	Intersection						68274
3	151232	151233	#000000	1.0	Intersection						1499814
3	151870	151871	#000000	1.0	Intersection						224232
3	152732	152733	#000000	1.0	Intersection						224233
3	154219	154221	#000000	1.0	Intersection						224234
3	155062	155064	#000000	1.0	Intersection						224235
3	158524	158526	#000000	1.0	Intersection						1499815
3	159192	159193	#000000	1.0	Intersection						68275
3	160016	160017	#000000	1.0	Intersection						224236
3	163520	163521	#000000	1.0	Intersection						1499816
3	164129	164130	#000000	1.0	Intersection						224237
3	164964	164965	#000000	1.0	Intersection						224238
3	166191	166192	#000000	1.0	Intersection						224239
3	166972	166973	#000000	1.0	Intersection						224240
3	170390	170391	#000000	1.0	Intersection						1499817
3	170997	170998	#000000	1.0	Intersection						68276
3	171788	171790	#000000	1.0	Intersection						224241
3	175263	175264	#000000	1.0	Intersection						1499818
3	175873	175875	#000000	1.0	Intersection						224242
3	176642	176644	#000000	1.0	Intersection						224243
3	177816	177817	#000000	1.0	Intersection						224244
3	178591	178592	#000000	1.0	Intersection						224245
3	181983	181985	#000000	1.0	Intersection						1499819
3	182580	182581	#000000	1.0	Intersection						68277
3	183400	183401	#000000	1.0	Intersection						68278
3	186911	186913	#000000	1.0	Intersection						1499820
3	187844	187845	#000000	1.0	Intersection						224246
3	188621	188623	#000000	1.0	Intersection						224247
3	189831	189832	#000000	1.0	Intersection						224248
3	190632	190634	#000000	1.0	Intersection						224249
3	193912	193914	#000000	1.0	Intersection						1499821
3	194540	194541	#000000	1.0	Intersection						224250
3	195445	195447	#000000	1.0	Intersection						224251
3	198999	199001	#000000	1.0	Intersection						1499822
3	199650	199652	#000000	1.0	Intersection						224252
3	200470	200471	#000000	1.0	Intersection						224253
3	201767	201768	#000000	1.0	Intersection						224254
3	202599	202601	#000000	1.0	Intersection						224255
3	206040	206041	#000000	1.0	Intersection						1499823
3	206690	206691	#000000	1.0	Intersection						68279
3	207487	207488	#000000	1.0	Intersection						224256
3	210909	210910	#000000	1.0	Intersection						1499824
3	211600	211601	#000000	1.0	Intersection						224257
3	212376	212378	#000000	1.0	Intersection						224258
3	213601	213603	#000000	1.0	Intersection						224259
3	214414	214416	#000000	1.0	Intersection						224260
3	218032	218033	#000000	1.0	Intersection						1499825
3	218680	218682	#000000	1.0	Intersection						68280
3	219544	219545	#000000	1.0	Intersection						224261
3	223443	223445	#000000	1.0	Intersection						1499826
3	224051	224053	#000000	1.0	Intersection						224262
3	224968	224969	#000000	1.0	Intersection						224263
3	226227	226229	#000000	1.0	Intersection						224264
3	227044	227046	#000000	1.0	Intersection						224265
3	230513	230515	#000000	1.0	Intersection						1499827
3	231096	231098	#000000	1.0	Intersection						224266
3	231936	231938	#000000	1.0	Intersection						224267
3	235455	235456	#000000	1.0	Intersection						1499828
3	236033	236034	#000000	1.0	Intersection						224268
3	236811	236813	#000000	1.0	Intersection						224269
3	238059	238061	#000000	1.0	Intersection						224270
3	238851	238853	#000000	1.0	Intersection						224271
3	242262	242263	#000000	1.0	Intersection						1499829
3	242877	242878	#000000	1.0	Intersection						68281
3	243685	243686	#000000	1.0	Intersection						224272
3	247326	247327	#000000	1.0	Intersection						1499830
3	247940	247942	#000000	1.0	Intersection						68282
3	248759	248761	#000000	1.0	Intersection						224273
3	250053	250055	#000000	1.0	Intersection						224274
3	250871	250873	#000000	1.0	Intersection						224275
3	254546	254548	#000000	1.0	Intersection						1499831
3	255154	255156	#000000	1.0	Intersection						224276
3	256051	256052	#000000	1.0	Intersection						224277
3	259884	259886	#000000	1.0	Intersection						1499832
3	260484	260485	#000000	1.0	Intersection						68283
3	261296	261297	#000000	1.0	Intersection						224278
3	262571	262572	#000000	1.0	Intersection						224279
3	263371	263372	#000000	1.0	Intersection						224280
3	266881	266882	#000000	1.0	Intersection						1499833
3	267488	267490	#000000	1.0	Intersection						68284
3	268290	268292	#000000	1.0	Intersection						224281
3	271756	271757	#000000	1.0	Intersection						1499834
3	272405	272407	#000000	1.0	Intersection						68285
3	273236	273238	#000000	1.0	Intersection						68286
3	274510	274512	#000000	1.0	Intersection						224282
3	275332	275334	#000000	1.0	Intersection						224283
3	279093	279095	#000000	1.0	Intersection						1499835
3	279736	279738	#000000	1.0	Intersection						68287
3	280644	280646	#000000	1.0	Intersection						224284
3	284219	284221	#000000	1.0	Intersection						1499836
3	284901	284902	#000000	1.0	Intersection						224285
3	285710	285711	#000000	1.0	Intersection						224286
3	286970	286971	#000000	1.0	Intersection						224287
3	287800	287801	#000000	1.0	Intersection						224288
3	291710	291712	#000000	1.0	Intersection						1499837
3	292363	292365	#000000	1.0	Intersection						68288
3	293306	293308	#000000	1.0	Intersection						224289
3	297027	297028	#000000	1.0	Intersection						1499838
3	297627	297628	#000000	1.0	Intersection						68289
3	298456	298457	#000000	1.0	Intersection						224290
3	299680	299682	#000000	1.0	Intersection						224291
3	300478	300480	#000000	1.0	Intersection						224292
3	305495	305497	#000000	1.0	Intersection						1499839
3	306171	306173	#000000	1.0	Intersection						224293
3	307096	307098	#000000	1.0	Intersection						68290
3	310683	310685	#000000	1.0	Intersection						1499840
3	311362	311363	#000000	1.0	Intersection						224294
3	312192	312194	#000000	1.0	Intersection						224295
3	313463	313464	#000000	1.0	Intersection						224296
3	314310	314311	#000000	1.0	Intersection						224297
3	317824	317826	#000000	1.0	Intersection						1499841
3	318495	318497	#000000	1.0	Intersection						224298
3	319364	319366	#000000	1.0	Intersection						224299
3	322860	322862	#000000	1.0	Intersection						1499842
3	323501	323503	#000000	1.0	Intersection						224300
3	324373	324374	#000000	1.0	Intersection						224301
3	325590	325591	#000000	1.0	Intersection						224302
3	326367	326369	#000000	1.0	Intersection						224303
3	329782	329783	#000000	1.0	Intersection						1499843
3	330640	330641	#000000	1.0	Intersection						224304
3	331349	331351	#000000	1.0	Intersection						224305
