level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	124129	124237	#ff002c	1.0	Copy size=1	34					221707
3	129132	129170	#ff002c	1.0	Copy size=1	48					65469
3	136051	136095	#ff002c	1.0	Copy size=1	90					221708
3	141040	141086	#ff002c	1.0	Copy size=1	104					221710
3	148015	148054	#ff002c	1.0	Copy size=1	146					221711
3	152935	152976	#ff002c	1.0	Copy size=1	160					221712
3	160234	160304	#ff002c	1.0	Copy size=1	202					221714
3	165161	165235	#ff002c	1.0	Copy size=1	216					221716
3	171970	172037	#ff002c	1.0	Copy size=1	258					221717
3	176826	176871	#ff002c	1.0	Copy size=1	272					221718
3	183576	183627	#ff002c	1.0	Copy size=1	314					65474
3	188809	188864	#ff002c	1.0	Copy size=1	328					221720
3	195648	195696	#ff002c	1.0	Copy size=1	370					221722
3	200680	200708	#ff002c	1.0	Copy size=1	384					221724
3	207656	207722	#ff002c	1.0	Copy size=1	426					221725
3	212566	212602	#ff002c	1.0	Copy size=1	440					65478
3	219930	219968	#ff002c	1.0	Copy size=1	482					221728
3	225171	225217	#ff002c	1.0	Copy size=1	496					221730
3	232135	232185	#ff002c	1.0	Copy size=1	538					221732
3	237030	237084	#ff002c	1.0	Copy size=1	552					221733
3	243874	243922	#ff002c	1.0	Copy size=1	594					65481
3	248961	249027	#ff002c	1.0	Copy size=1	608					221734
3	256245	256286	#ff002c	1.0	Copy size=1	650					221736
3	261501	261561	#ff002c	1.0	Copy size=1	664					221738
3	268489	268537	#ff002c	1.0	Copy size=1	706					221740
3	273423	273466	#ff002c	1.0	Copy size=1	720					65484
3	280826	280893	#ff002c	1.0	Copy size=1	762					221742
3	285904	285951	#ff002c	1.0	Copy size=1	776					221743
3	293478	293534	#ff002c	1.0	Copy size=1	818					65486
3	298637	298704	#ff002c	1.0	Copy size=1	832					221745
3	307288	307352	#ff002c	1.0	Copy size=1	874					221746
3	312375	312457	#ff002c	1.0	Copy size=1	888					221748
3	319531	319587	#ff002c	1.0	Copy size=1	930					221750
3	324564	324628	#ff002c	1.0	Copy size=1	944					221752
3	331515	331573	#ff002c	1.0	Copy size=1	986					221753
3	336618	336669	#ff002c	1.0	Copy size=1	1000					221756
3	343642	343693	#ff002c	1.0	Copy size=1	1042					221758
