time	count
0.00	0.00
14630.00	0.25
14745.00	0.00
14808.00	0.25
14811.00	0.00
15139.00	0.25
15372.00	0.00
15602.00	0.25
15609.00	0.00
15640.00	0.25
15641.00	0.00
15662.00	0.25
15664.00	0.00
15689.00	0.25
15691.00	0.00
15770.00	0.25
15772.00	0.00
15828.00	0.25
15858.00	0.00
15875.00	0.25
15880.00	0.00
15908.00	0.25
15909.00	0.00
15980.00	0.25
16041.00	0.00
16111.00	0.25
16113.00	0.00
16151.00	0.25
16152.00	0.00
16170.00	0.25
16171.00	0.00
16190.00	0.25
16191.00	0.00
16215.00	0.25
16216.00	0.00
16230.00	0.25
16238.00	0.00
16263.00	0.25
16282.00	0.00
16293.00	0.25
16295.00	0.00
16298.00	0.25
16299.00	0.00
16312.00	0.25
16313.00	0.00
16324.00	0.25
17102.00	0.00
24469.00	0.25
24474.00	0.00
24543.00	0.25
24544.00	0.00
24559.00	0.25
24560.00	0.00
24993.00	0.25
24997.00	0.00
25646.00	0.25
25670.00	0.50
25675.00	0.25
25931.00	0.50
25932.00	0.25
25992.00	0.50
25993.00	0.25
26023.00	0.50
26031.00	0.25
26062.00	0.50
26063.00	0.25
26101.00	0.00
54536.00	0.25
54538.00	0.00
54556.00	0.25
54557.00	0.00
54582.00	0.25
54585.00	0.00
54586.00	0.25
54588.00	0.00
54596.00	0.25
54597.00	0.00
54604.00	0.25
54605.00	0.00
54608.00	0.25
54609.00	0.00
54622.00	0.25
54623.00	0.00
54628.00	0.25
54635.00	0.00
54650.00	0.25
54659.00	0.00
54663.00	0.25
54664.00	0.00
54666.00	0.25
54667.00	0.00
54688.00	0.25
54689.00	0.00
54693.00	0.25
54695.00	0.00
54704.00	0.00
54717.00	0.00
54731.00	0.25
54732.00	0.00
54736.00	0.25
54741.00	0.00
54742.00	0.25
54743.00	0.00
54761.00	0.00
54771.00	0.25
54777.00	0.00
54784.00	0.25
54785.00	0.00
54787.00	0.25
54788.00	0.00
54797.00	0.25
54798.00	0.00
54808.00	0.00
54817.00	0.25
54820.00	0.00
54830.00	0.25
54831.00	0.00
54834.00	0.25
54835.00	0.00
54847.00	0.25
54848.00	0.00
54896.00	0.25
54897.00	0.00
54919.00	0.25
54920.00	0.00
54935.00	0.25
54936.00	0.00
54947.00	0.25
54948.00	0.00
54963.00	0.25
54965.00	0.00
54978.00	0.25
54983.00	0.00
54993.00	0.25
54994.00	0.00
55009.00	0.25
55010.00	0.00
55019.00	0.25
55020.00	0.00
55032.00	0.25
55036.00	0.00
55080.00	0.25
55081.00	0.00
55099.00	0.25
55100.00	0.00
55117.00	0.25
55123.00	0.00
55128.00	0.25
55129.00	0.00
55141.00	0.25
55142.00	0.00
55155.00	0.25
55156.00	0.00
55169.00	0.00
55186.00	0.00
55195.00	0.25
55199.00	0.00
55208.00	0.25
55209.00	0.00
55213.00	0.00
55225.00	0.00
55234.00	0.25
55235.00	0.00
55243.00	0.25
55247.00	0.00
55257.00	0.25
55258.00	0.00
55261.00	0.00
55276.00	0.25
55277.00	0.00
55285.00	0.00
55295.00	0.00
55303.00	0.00
55312.00	0.25
55318.00	0.00
55325.00	0.25
55327.00	0.00
55346.00	0.25
55347.00	0.00
55355.00	0.25
55356.00	0.00
55365.00	0.25
55366.00	0.00
55374.00	0.25
55381.00	0.00
55387.00	0.25
55388.00	0.00
55391.00	0.00
55400.00	0.00
55409.00	0.25
55410.00	0.00
55422.00	0.25
55423.00	0.00
55445.00	0.25
55446.00	0.00
55458.00	0.25
55459.00	0.00
55466.00	0.25
55467.00	0.00
55477.00	0.25
55481.00	0.00
55490.00	0.25
55495.00	0.00
55506.00	0.00
55521.00	0.25
55522.00	0.00
55535.00	0.25
55536.00	0.00
55544.00	0.25
55545.00	0.00
55554.00	0.00
55562.00	0.25
55563.00	0.00
55572.00	0.25
55576.00	0.00
55579.00	0.25
55580.00	0.00
55588.00	0.25
55589.00	0.00
55597.00	0.25
55598.00	0.00
55612.00	0.25
55613.00	0.00
55625.00	0.25
55628.00	0.00
55638.00	0.25
55640.00	0.00
55652.00	0.25
55653.00	0.00
55662.00	0.25
55663.00	0.00
55672.00	0.25
55673.00	0.00
55680.00	0.25
55681.00	0.00
55690.00	0.25
55694.00	0.00
55701.00	0.25
55707.00	0.00
55709.00	0.25
55710.00	0.00
55722.00	0.25
55723.00	0.00
55737.00	0.25
55738.00	0.00
55741.00	0.25
55742.00	0.00
55754.00	0.25
55755.00	0.00
55769.00	0.25
55770.00	0.00
55783.00	0.25
55784.00	0.00
55793.00	0.25
55797.00	0.00
55806.00	0.25
55807.00	0.00
55819.00	0.25
55820.00	0.00
55834.00	0.25
55835.00	0.00
55837.00	0.00
55848.00	0.25
55849.00	0.00
55857.00	0.00
55866.00	0.25
55869.00	0.00
55879.00	0.25
55880.00	0.00
55892.00	0.25
55893.00	0.00
55901.00	0.25
55902.00	0.00
55909.00	0.25
55910.00	0.00
55918.00	0.25
55919.00	0.00
55926.00	0.25
55927.00	0.00
55935.00	0.25
55939.00	0.00
55943.00	0.00
55953.00	0.25
55954.00	0.00
55962.00	0.00
55970.00	0.00
55978.00	0.25
55981.00	0.00
55990.00	0.25
55995.00	0.25
55996.00	0.00
56002.00	0.00
56020.00	0.00
56034.00	0.25
56035.00	0.00
56037.00	0.25
56038.00	0.00
56049.00	0.00
56064.00	0.25
56065.00	0.00
56083.00	0.25
56084.00	0.00
56101.00	0.25
56106.00	0.00
56115.00	0.25
56119.00	0.00
56129.00	0.25
56130.00	0.00
56147.00	0.25
56148.00	0.00
56165.00	0.25
56166.00	0.00
56184.00	0.25
56185.00	0.00
56203.00	0.25
56204.00	0.00
56221.00	0.25
56226.00	0.00
56245.00	0.25
56246.00	0.00
56269.00	0.00
56284.00	0.25
56285.00	0.00
56300.00	0.25
56301.00	0.00
56303.00	0.25
56304.00	0.00
56321.00	0.25
56322.00	0.00
56336.00	0.00
56354.00	0.25
56359.00	0.00
56371.00	0.25
56372.00	0.00
56388.00	0.25
56389.00	0.00
56406.00	0.25
56407.00	0.00
56426.00	0.25
56427.00	0.00
56445.00	0.25
56446.00	0.00
56464.00	0.25
56468.00	0.00
56480.00	0.25
56481.00	0.00
56497.00	0.00
56516.00	0.25
56517.00	0.00
56534.00	0.25
56538.00	0.00
56552.00	0.25
56553.00	0.00
56561.00	0.25
56562.00	0.00
56571.00	0.25
56572.00	0.00
56580.00	0.25
56584.00	0.00
56593.00	0.25
56594.00	0.00
56610.00	0.25
56611.00	0.00
56621.00	0.25
56622.00	0.00
56636.00	0.25
56637.00	0.00
56658.00	0.25
56659.00	0.00
56677.00	0.25
56678.00	0.00
56695.00	0.25
56699.00	0.25
56700.00	0.00
56713.00	0.00
56724.00	0.00
56731.00	0.25
56732.00	0.00
56733.00	0.25
56737.00	0.00
56745.00	0.25
56746.00	0.00
56760.00	0.25
56761.00	0.00
56762.00	0.25
56764.00	0.00
56773.00	0.25
56774.00	0.00
56783.00	0.25
56787.00	0.00
56791.00	0.00
56800.00	0.25
56802.00	0.00
56813.00	0.25
56814.00	0.00
56836.00	0.00
56856.00	0.00
56871.00	0.25
56876.00	0.00
56893.00	0.00
56910.00	0.25
56911.00	0.00
56919.00	0.00
56932.00	0.25
56936.00	0.00
56940.00	0.25
56942.00	0.00
56950.00	0.25
56951.00	0.00
56959.00	0.25
56960.00	0.00
56968.00	0.25
56973.00	0.00
56977.00	0.00
56986.00	0.25
56987.00	0.00
56998.00	0.25
56999.00	0.00
57005.00	0.25
57006.00	0.00
57028.00	0.25
57029.00	0.00
57052.00	0.25
57053.00	0.00
57071.00	0.25
57072.00	0.00
57089.00	0.25
57094.00	0.00
57102.00	0.25
57103.00	0.00
57111.00	0.25
57116.00	0.00
57125.00	0.25
57126.00	0.00
57144.00	0.25
57145.00	0.00
57162.00	0.00
57177.00	0.00
57187.00	0.00
57196.00	0.25
57197.00	0.00
57204.00	0.25
57205.00	0.00
57213.00	0.25
57214.00	0.00
57223.00	0.25
57227.00	0.00
57234.00	0.25
57235.00	0.00
57244.00	0.25
57245.00	0.00
57253.00	0.25
57254.00	0.00
57263.00	0.00
57276.00	0.25
57277.00	0.00
57286.00	0.25
57290.00	0.00
57294.00	0.00
57302.00	0.25
57303.00	0.00
57312.00	0.00
57321.00	0.00
57329.00	0.00
57343.00	0.25
57344.00	0.00
57346.00	0.25
57350.00	0.00
57359.00	0.25
57364.00	0.00
57383.00	0.25
57384.00	0.00
57402.00	0.25
57403.00	0.00
57422.00	0.00
57440.00	0.25
57441.00	0.00
57460.00	0.25
57464.00	0.00
57478.00	0.25
57479.00	0.00
57499.00	0.25
57500.00	0.00
57519.00	0.25
57520.00	0.00
57538.00	0.25
57539.00	0.00
57559.00	0.25
57560.00	0.00
57577.00	0.25
57581.00	0.00
57596.00	0.25
57597.00	0.00
57607.00	0.25
57608.00	0.00
57618.00	0.00
57628.00	0.25
57633.00	0.00
57637.00	0.00
57645.00	0.25
57646.00	0.00
57654.00	0.25
57655.00	0.00
57664.00	0.00
57672.00	0.25
57675.00	0.00
57683.00	0.00
57695.00	0.00
57705.00	0.25
57706.00	0.00
57715.00	0.25
57716.00	0.00
57723.00	0.25
57724.00	0.00
57732.00	0.25
57736.00	0.00
57740.00	0.00
57749.00	0.00
57757.00	0.25
57758.00	0.00
57767.00	0.00
57775.00	0.25
57778.00	0.00
57788.00	0.25
57789.00	0.00
57811.00	0.00
57830.00	0.25
57831.00	0.00
57850.00	0.25
57851.00	0.00
57868.00	0.25
57872.00	0.25
57874.00	0.00
57880.00	0.25
57881.00	0.00
57898.00	0.00
57906.00	0.25
57907.00	0.00
57914.00	0.25
57915.00	0.00
57919.00	0.25
57920.00	0.00
57934.00	0.00
57942.00	0.25
57946.00	0.00
57955.00	0.25
57956.00	0.00
57973.00	0.25
57977.00	0.00
57990.00	0.25
57991.00	0.00
58007.00	0.25
58008.00	0.00
58026.00	0.25
58027.00	0.00
58041.00	0.00
58050.00	0.25
58051.00	0.00
58064.00	0.25
58065.00	0.00
58083.00	0.25
58084.00	0.00
58102.00	0.25
58106.00	0.00
58118.00	0.00
58134.00	0.25
58135.00	0.00
58153.00	0.25
58154.00	0.00
58175.00	0.00
58191.00	0.25
58192.00	0.00
58210.00	0.25
58214.00	0.00
