time	count
0.00	0.00
24935.00	0.00
100387.00	0.00
100670.00	0.00
123219.00	0.00
127005.00	0.00
127094.00	0.00
128704.00	0.00
133618.00	0.00
133679.00	0.00
135644.00	0.00
138906.00	0.00
138972.00	0.00
140625.00	0.00
145710.00	0.00
145773.00	0.00
147608.00	0.00
150739.00	0.00
150803.00	0.00
152454.00	0.00
157798.00	0.00
157866.00	0.00
159771.00	0.00
163016.00	0.00
163085.00	0.00
164749.00	0.00
169685.00	0.00
169751.00	0.00
171588.00	0.00
174758.00	0.00
174823.00	0.00
176440.00	0.00
181283.00	0.00
181350.00	0.00
183180.00	0.00
186430.00	0.00
186497.00	0.00
188422.00	0.00
193214.00	0.00
193287.00	0.00
195222.00	0.00
198507.00	0.00
198577.00	0.00
200223.00	0.00
205322.00	0.00
205392.00	0.00
207272.00	0.00
210432.00	0.00
210501.00	0.00
212167.00	0.00
217288.00	0.00
217360.00	0.00
219323.00	0.00
222915.00	0.00
222989.00	0.00
224748.00	0.00
229788.00	0.00
229860.00	0.00
231716.00	0.00
234916.00	0.00
234998.00	0.00
236613.00	0.00
241555.00	0.00
241626.00	0.00
243474.00	0.00
246823.00	0.00
246899.00	0.00
248532.00	0.00
253770.00	0.00
253843.00	0.00
255818.00	0.00
259357.00	0.00
259433.00	0.00
261081.00	0.00
266166.00	0.00
266240.00	0.00
268077.00	0.00
271230.00	0.00
271312.00	0.00
273006.00	0.00
278357.00	0.00
278433.00	0.00
280422.00	0.00
283698.00	0.00
283775.00	0.00
285499.00	0.00
290876.00	0.00
290954.00	0.00
292991.00	0.00
296521.00	0.00
296596.00	0.00
298239.00	0.00
304604.00	0.00
304683.00	0.00
306863.00	0.00
310149.00	0.00
310230.00	0.00
311972.00	0.00
317068.00	0.00
317151.00	0.00
319134.00	0.00
322326.00	0.00
322408.00	0.00
324134.00	0.00
329046.00	0.00
329125.00	0.00
331138.00	0.00
334245.00	0.00
334346.00	0.00
336199.00	0.00
341190.00	0.00
341292.00	0.00
343206.00	0.00
346490.00	0.00
