time	count
0.00	0.00
136027.00	0.00
136281.00	0.00
154980.00	0.00
155071.00	0.00
161446.00	0.00
161522.00	0.00
167019.00	0.00
167088.00	0.00
172705.00	0.00
172772.00	0.00
178276.00	0.00
178345.00	0.00
185822.00	0.00
185893.00	0.00
191604.00	0.00
191678.00	0.00
204358.00	0.00
204492.00	0.00
210430.00	0.00
210500.00	0.00
216146.00	0.00
216217.00	0.00
222467.00	0.00
222541.00	0.00
228205.00	0.00
228277.00	0.00
233828.00	0.00
233900.00	0.00
240015.00	0.00
240085.00	0.00
245575.00	0.00
245648.00	0.00
259213.00	0.00
259304.00	0.00
265210.00	0.00
265312.00	0.00
270951.00	0.00
271053.00	0.00
276966.00	0.00
277043.00	0.00
282865.00	0.00
282965.00	0.00
288759.00	0.00
288834.00	0.00
294428.00	0.00
294502.00	0.00
300949.00	0.00
301026.00	0.00
313971.00	0.00
314046.00	0.00
319959.00	0.00
320036.00	0.00
325537.00	0.00
325610.00	0.00
331231.00	0.00
331337.00	0.00
336988.00	0.00
337065.00	0.00
343376.00	0.00
343464.00	0.00
349338.00	0.00
349414.00	0.00
355112.00	0.00
355192.00	0.00
368186.00	0.00
368276.00	0.00
374085.00	0.00
374165.00	0.00
380186.00	0.00
380266.00	0.00
386003.00	0.00
386117.00	0.00
391891.00	0.00
391976.00	0.00
397455.00	0.00
397535.00	0.00
403219.00	0.00
403335.00	0.00
408859.00	0.00
408975.00	0.00
422225.00	0.00
422335.00	0.00
428242.00	0.00
428329.00	0.00
434023.00	0.00
434116.00	0.00
439918.00	0.00
439999.00	0.00
445758.00	0.00
445905.00	0.00
451613.00	0.00
451714.00	0.00
458095.00	0.00
458184.00	0.00
463743.00	0.00
463855.00	0.00
476754.00	0.00
476856.00	0.00
482880.00	0.00
482969.00	0.00
488876.00	0.00
488961.00	0.00
495196.00	0.00
495285.00	0.00
500981.00	0.00
501070.00	0.00
506762.00	0.00
506849.00	0.00
513166.00	0.00
513254.00	0.00
519150.00	0.00
519242.00	0.00
532262.00	0.00
532352.00	0.00
538231.00	0.00
538317.00	0.00
543964.00	0.00
544081.00	0.00
549898.00	0.00
549990.00	0.00
555785.00	0.00
555900.00	0.00
